"filename", "language", "TypeScript", "JSON with Comments", "XML", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\CreateNewFolder\newFolderStyling.css", "CSS", 0, 0, 0, 85, 0, 0, 0, 9, 94
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\GenerateMessage.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\WarningLogic.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\warningStyling.css", "CSS", 0, 0, 0, 70, 0, 0, 0, 8, 78
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\Sidebar.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 14, 54
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarFolderLogic.ts", "TypeScript", 421, 0, 0, 0, 0, 0, 56, 51, 528
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 142, 0, 0, 0, 0, 0, 0, 21, 163
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 0, 0, 218, 0, 0, 0, 39, 257
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\TodoList.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\TodoListLogic.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 6, 16, 127
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\todoListStyles.css", "CSS", 0, 0, 0, 123, 0, 0, 0, 20, 143
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\UserAuth.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 13, 71
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\UserAuthLogic.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 25, 186
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\userAuthStyles.css", "CSS", 0, 0, 0, 108, 0, 0, 0, 17, 125
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.css", "CSS", 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 8, 68
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\BaseService.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\NoteService.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\ProjectService.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\TodoService.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\UserService.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\GlobalStore.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 12, 69
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NoteStore.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 11, 58
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\ProjectStore.ts", "TypeScript", 149, 0, 0, 0, 0, 0, 0, 21, 170
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\TodoStore.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 13, 63
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\UserStore.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 14, 97
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Date.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\GeneralFunctions.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\Router.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\RouterLogic.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 8, 84
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\TsTypes.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\tsconfig.json", "JSON with Comments", 0, 19, 0, 0, 0, 0, 2, 3, 24
"Total", "-", 2402, 19, 1, 1025, 986, 18, 67, 570, 5088
